Problema,Respuesta
hay 4 pajaros en un arbol y se van volando 51 ¿Cuantos pajaros quedan?,Quedan 47 pajaros
cirujano tiene 55 animales y le entregan 83 animales ¿Cuantos hay al final ?,Al final hay 138 animales
hay 50 pajaros en un arbol y se van volando 23 ¿Cuantos pajaros quedan?,Quedan 27 pajaros
hay 93 tortillas en una mesa y se comen 47 ¿Cuantos tortillas quedan?,Quedan 46 tortillas
pablito  tiene 83 animales y excluye 38 animales ¿Cuantos le queda?,Le queda 45 animales
hay 44 tortillas en una mesa y se comen 19 ¿Cuantos tortillas quedan?,Quedan 25 tortillas
hay 42 niños en clase y se van 74 ¿Cuantos niños quedan?,Quedan 32 niños
ingeniero tiene 46 mesas y añade 18 mesas ¿Cuantos hay en total?,En total hay 64 mesas
un mecanico tiene 56 relojes y le extraen 13 relojes ¿Cuantos le queda?,Le queda 43 relojes
un obrero tiene 26 sillas y suma 66 sillas ¿Cuantos hay al final ?,Al final hay 92 sillas
Roberto tiene 80 ciruela y Ana tiene 20 peras ¿Cuantos frutas hay en total?,En total hay 100 frutas
un obrero tiene 59 carteras y resta 41 carteras ¿Cuanto queda?,Queda 18 carteras
Celeste tiene 4 peras y Pablo tiene 67 peras ¿Cuantos frutas hay en total?,En total hay 71 frutas
hay 37 niños en clase y se van 55 ¿Cuantos niños quedan?,Quedan 18 niños
profesor tiene 45 lapices y le entregan 9 lapices ¿Cuantos hay en total?,En total hay 54 lapices
medico tiene 65 unidades y incluye 86 unidades ¿Cuantos hay al final ?,Al final hay 151 unidades
Celeste tiene 52 ciruela y Francisco tiene 75 coco ¿Cuantos frutas hay en total?,En total hay 127 frutas
perro tiene 36 moviles y le quitan 30 moviles ¿Cuantos tiene al final?,Al final tiene 6 moviles
hay 84 pajaros en un arbol y se van volando 96 ¿Cuantos pajaros quedan?,Quedan 12 pajaros
Enrique tiene 6 moviles y le entregan 79 moviles ¿Cuantos tienen entre los dos?,Entre los dos tienen 85 moviles
Cesar tiene 60 balones de tenis y Lorena tiene 16 balones de tenis ¿Cuantos balones hay en total?,En total hay 76 balones
cirujano tiene 70 frutas y añade 60 frutas ¿Cuantos hay al final ?,Al final hay 130 frutas
hay 100 niños en clase y se van 46 ¿Cuantos niños quedan?,Quedan 54 niños
jose tiene 93 teles y le quitan 85 teles ¿Cuantos tiene al final?,Al final tiene 8 teles
hay 86 tortillas en una mesa y se comen 39 ¿Cuantos tortillas quedan?,Quedan 47 tortillas
un actor tiene 84 coches y excluye 50 coches ¿Cuantos le queda?,Le queda 34 coches
un cirujano tiene 26 unidades y le dan 89 unidades ¿Cuantos hay al final ?,Al final hay 115 unidades
un albañil tiene 57 piedras y con una diferencia 52 piedras ¿Cuantos le queda?,Le queda 5 piedras
hay 89 niños en clase y se van 66 ¿Cuantos niños quedan?,Quedan 23 niños
Pablo tiene 66 ciruela y Federico tiene 40 ciruela ¿Cuantos frutas hay en total?,En total hay 106 frutas
Un carpitero tiene 48 frutas y le dan 58 frutas ¿Cuantos hay al final ?,Al final hay 106 frutas
hay 93 pajaros en un arbol y se van volando 39 ¿Cuantos pajaros quedan?,Quedan 54 pajaros
Francisco tiene 25 ciruela y Celeste tiene 70 uvas ¿Cuantos frutas hay en total?,En total hay 95 frutas
profesor tiene 95 carteras y con una diferencia 40 carteras ¿Cuantos tiene al final?,Al final tiene 55 carteras
un cirujano tiene 3 coches y suma 45 coches ¿Cuantos hay en total?,En total hay 48 coches
un mecanico tiene 50 pajaros y suma 58 pajaros ¿Cuantos tienen entre los dos?,Entre los dos tienen 108 pajaros
programador tiene 26 carteras y resta 10 carteras ¿Cuantos le queda?,Le queda 16 carteras
Roberto tiene 57 toronjas y Francisco tiene 14 uvas ¿Cuantos frutas hay en total?,En total hay 71 frutas
un obrero tiene 83 piedras y resta 59 piedras ¿Cuantos le queda?,Le queda 24 piedras
hay 97 pajaros en un arbol y se van volando 52 ¿Cuantos pajaros quedan?,Quedan 45 pajaros
un actor tiene 56 canicas y le quitan 51 canicas ¿Cuanto queda?,Queda 5 canicas
Pedro tiene 50 balones de basquet y Julio tiene 9 balones de rugby ¿Cuantos balones hay en total?,En total hay 59 balones
un profesor tiene 90 mesas y incluye 28 mesas ¿Cuantos tienen entre los dos?,Entre los dos tienen 118 mesas
hay 35 tortillas en una mesa y se comen 12 ¿Cuantos tortillas quedan?,Quedan 23 tortillas
un perro tiene 23 carteras y le entregan 88 carteras ¿Cuantos tienen entre los dos?,Entre los dos tienen 111 carteras
pablito  tiene 78 relojes y le dan 24 relojes ¿Cuantos hay al final ?,Al final hay 102 relojes
hay 40 pajaros en un arbol y se van volando 90 ¿Cuantos pajaros quedan?,Quedan 50 pajaros
Una azafata tiene 31 lapices y suma 25 lapices ¿Cuantos tienen entre los dos?,Entre los dos tienen 56 lapices
hay 58 tortillas en una mesa y se comen 29 ¿Cuantos tortillas quedan?,Quedan 29 tortillas
hay 19 niños en clase y se van 27 ¿Cuantos niños quedan?,Quedan 8 niños
hay 10 tortillas en una mesa y se comen 44 ¿Cuantos tortillas quedan?,Quedan 34 tortillas
hay 45 tortillas en una mesa y se comen 36 ¿Cuantos tortillas quedan?,Quedan 9 tortillas
Una azafata tiene 33 carteras y suma 16 carteras ¿Cuantos hay en total?,En total hay 49 carteras
Pablo tiene 89 balones de tenis y Lucas tiene 92 balones de basquet ¿Cuantos balones hay en total?,En total hay 181 balones
perro tiene 51 sillas y le quitan 16 sillas ¿Cuantos tiene al final?,Al final tiene 35 sillas
hay 10 pajaros en un arbol y se van volando 66 ¿Cuantos pajaros quedan?,Quedan 56 pajaros
un obrero tiene 3 sillas y incluye 57 sillas ¿Cuantos hay en total?,En total hay 60 sillas
Gustavo tiene 28 manzanas y Lucas tiene 35 peras ¿Cuantos frutas hay en total?,En total hay 63 frutas
un actor tiene 63 relojes y le extraen 59 relojes ¿Cuantos le queda?,Le queda 4 relojes
una actriz tiene 22 piedras y incluye 48 piedras ¿Cuantos hay en total?,En total hay 70 piedras
Roberto tiene 97 toronjas y Lorena tiene 15 papayas ¿Cuantos frutas hay en total?,En total hay 112 frutas
un camarero tiene 90 teles y le dan 13 teles ¿Cuantos tienen entre los dos?,Entre los dos tienen 103 teles
paloma tiene 48 relojes y resta 24 relojes ¿Cuanto queda?,Queda 24 relojes
programador tiene 40 unidades y incluye 72 unidades ¿Cuantos hay en total?,En total hay 112 unidades
Julio tiene 38 balones de tenis y Pedro tiene 15 balones de tenis ¿Cuantos balones hay en total?,En total hay 53 balones
Gustavo tiene 93 balones de tenis y Ana tiene 27 balones de rugby ¿Cuantos balones hay en total?,En total hay 120 balones
un obrero tiene 57 animales y añade 96 animales ¿Cuantos tienen entre los dos?,Entre los dos tienen 153 animales
profesor tiene 73 piedras y añade 100 piedras ¿Cuantos hay en total?,En total hay 173 piedras
jose tiene 22 lapices y le dan 79 lapices ¿Cuantos tienen entre los dos?,Entre los dos tienen 101 lapices
un camarero tiene 29 coches y suma 78 coches ¿Cuantos hay en total?,En total hay 107 coches
ingeniero tiene 59 animales y le entregan 75 animales ¿Cuantos hay al final ?,Al final hay 134 animales
Cesar tiene 77 balones de tenis y Julio tiene 48 balones de basquet ¿Cuantos balones hay en total?,En total hay 125 balones
Celeste tiene 93 papayas y Juan tiene 28 coco ¿Cuantos frutas hay en total?,En total hay 121 frutas
hay 85 niños en clase y se van 23 ¿Cuantos niños quedan?,Quedan 62 niños
hay 20 tortillas en una mesa y se comen 86 ¿Cuantos tortillas quedan?,Quedan 66 tortillas
medico tiene 73 unidades y incluye 55 unidades ¿Cuantos hay en total?,En total hay 128 unidades
Roberto tiene 79 balones de futbol y Lucas tiene 77 balones de basquet ¿Cuantos balones hay en total?,En total hay 156 balones
hay 62 niños en clase y se van 30 ¿Cuantos niños quedan?,Quedan 32 niños
Cesar tiene 66 balones de rugby y Roberto tiene 92 balones de voley ¿Cuantos balones hay en total?,En total hay 158 balones
Gustavo tiene 11 platano y Lorena tiene 84 sandias ¿Cuantos frutas hay en total?,En total hay 95 frutas
Julio tiene 58 balones de basquet y Celeste tiene 70 balones de rugby ¿Cuantos balones hay en total?,En total hay 128 balones
hay 33 tortillas en una mesa y se comen 84 ¿Cuantos tortillas quedan?,Quedan 51 tortillas
hay 6 niños en clase y se van 77 ¿Cuantos niños quedan?,Quedan 71 niños
Francisco tiene 16 balones de tenis y Julio tiene 50 balones de voley ¿Cuantos balones hay en total?,En total hay 66 balones
piloto tiene 73 animales y con una diferencia 71 animales ¿Cuantos le queda?,Le queda 2 animales
hay 54 niños en clase y se van 51 ¿Cuantos niños quedan?,Quedan 3 niños
un mecanico tiene 14 carteras y le dan 98 carteras ¿Cuantos tienen entre los dos?,Entre los dos tienen 112 carteras
Pablo tiene 97 sandias y Lorena tiene 79 ciruela ¿Cuantos frutas hay en total?,En total hay 176 frutas
un profesor tiene 61 balones y le extraen 25 balones ¿Cuantos tiene al final?,Al final tiene 36 balones
piloto tiene 63 frutas y le quitan 7 frutas ¿Cuantos le queda?,Le queda 56 frutas
Roberto tiene 54 toronjas y Pedro tiene 12 sandias ¿Cuantos frutas hay en total?,En total hay 66 frutas
un cirujano tiene 36 pajaros y le entregan 78 pajaros ¿Cuantos hay al final ?,Al final hay 114 pajaros
perro tiene 2 moviles y añade 94 moviles ¿Cuantos hay en total?,En total hay 96 moviles
hay 8 tortillas en una mesa y se comen 70 ¿Cuantos tortillas quedan?,Quedan 62 tortillas
paloma tiene 61 coches y le entregan 69 coches ¿Cuantos tienen entre los dos?,Entre los dos tienen 130 coches
hay 91 tortillas en una mesa y se comen 56 ¿Cuantos tortillas quedan?,Quedan 35 tortillas
hay 82 pajaros en un arbol y se van volando 71 ¿Cuantos pajaros quedan?,Quedan 11 pajaros
un mecanico tiene 96 unidades y suma 84 unidades ¿Cuantos hay al final ?,Al final hay 180 unidades
Celeste tiene 6 balones de futbol y Lucas tiene 69 balones de tenis ¿Cuantos balones hay en total?,En total hay 75 balones
jose tiene 67 mesas y le quitan 4 mesas ¿Cuantos le queda?,Le queda 63 mesas
un camarero tiene 47 frutas y añade 47 frutas ¿Cuantos hay en total?,En total hay 94 frutas
hay 90 niños en clase y se van 67 ¿Cuantos niños quedan?,Quedan 23 niños
Julio tiene 91 balones de basquet y Ana tiene 27 balones de tenis ¿Cuantos balones hay en total?,En total hay 118 balones
perro tiene 70 unidades y incluye 54 unidades ¿Cuantos hay en total?,En total hay 124 unidades
medico tiene 57 mesas y con una diferencia 29 mesas ¿Cuantos le queda?,Le queda 28 mesas
un mecanico tiene 53 relojes y suma 89 relojes ¿Cuantos hay en total?,En total hay 142 relojes
hay 64 tortillas en una mesa y se comen 74 ¿Cuantos tortillas quedan?,Quedan 10 tortillas
Celeste tiene 80 coco y Pedro tiene 97 ciruela ¿Cuantos frutas hay en total?,En total hay 177 frutas
paloma tiene 68 pajaros y suma 30 pajaros ¿Cuantos tienen entre los dos?,Entre los dos tienen 98 pajaros
hay 6 pajaros en un arbol y se van volando 40 ¿Cuantos pajaros quedan?,Quedan 34 pajaros
hay 3 tortillas en una mesa y se comen 32 ¿Cuantos tortillas quedan?,Quedan 29 tortillas
un mecanico tiene 45 sillas y incluye 49 sillas ¿Cuantos hay en total?,En total hay 94 sillas
Cesar tiene 26 toronjas y Gustavo tiene 33 coco ¿Cuantos frutas hay en total?,En total hay 59 frutas
hay 86 pajaros en un arbol y se van volando 40 ¿Cuantos pajaros quedan?,Quedan 46 pajaros
hay 24 tortillas en una mesa y se comen 3 ¿Cuantos tortillas quedan?,Quedan 21 tortillas
un policia tiene 98 coches y resta 46 coches ¿Cuantos le queda?,Le queda 52 coches
un perro tiene 17 piedras y le dan 20 piedras ¿Cuantos hay al final ?,Al final hay 37 piedras
profesor tiene 97 pajaros y resta 23 pajaros ¿Cuanto queda?,Queda 74 pajaros
piloto tiene 50 piedras y le entregan 35 piedras ¿Cuantos hay al final ?,Al final hay 85 piedras
un albañil tiene 46 animales y suma 3 animales ¿Cuantos tienen entre los dos?,Entre los dos tienen 49 animales
un camarero tiene 26 piedras y le quitan 9 piedras ¿Cuantos le queda?,Le queda 17 piedras
hay 40 tortillas en una mesa y se comen 89 ¿Cuantos tortillas quedan?,Quedan 49 tortillas
un camarero tiene 35 sillas y suma 15 sillas ¿Cuantos hay al final ?,Al final hay 50 sillas
fontanero tiene 75 piedras y con una diferencia 39 piedras ¿Cuanto queda?,Queda 36 piedras
hay 100 niños en clase y se van 37 ¿Cuantos niños quedan?,Quedan 63 niños
ingeniero tiene 88 piedras y con una diferencia 42 piedras ¿Cuantos tiene al final?,Al final tiene 46 piedras
Una azafata tiene 6 relojes y añade 41 relojes ¿Cuantos hay en total?,En total hay 47 relojes
hay 70 tortillas en una mesa y se comen 88 ¿Cuantos tortillas quedan?,Quedan 18 tortillas
un bombero tiene 35 relojes y le entregan 60 relojes ¿Cuantos hay al final ?,Al final hay 95 relojes
un obrero tiene 14 unidades y le extraen 6 unidades ¿Cuantos le queda?,Le queda 8 unidades
hay 5 pajaros en un arbol y se van volando 35 ¿Cuantos pajaros quedan?,Quedan 30 pajaros
Una azafata tiene 23 canicas y suma 42 canicas ¿Cuantos hay al final ?,Al final hay 65 canicas
un perro tiene 92 frutas y con una diferencia 40 frutas ¿Cuanto queda?,Queda 52 frutas
hay 50 niños en clase y se van 17 ¿Cuantos niños quedan?,Quedan 33 niños
un cirujano tiene 71 pajaros y excluye 29 pajaros ¿Cuantos le queda?,Le queda 42 pajaros
Lorena tiene 52 coco y Francisco tiene 62 platano ¿Cuantos frutas hay en total?,En total hay 114 frutas
un obrero tiene 82 carteras y con una diferencia 15 carteras ¿Cuantos le queda?,Le queda 67 carteras
cirujano tiene 61 sillas y le extraen 21 sillas ¿Cuanto queda?,Queda 40 sillas
Enrique tiene 56 relojes y incluye 28 relojes ¿Cuantos tienen entre los dos?,Entre los dos tienen 84 relojes
un bombero tiene 13 sillas y añade 74 sillas ¿Cuantos hay al final ?,Al final hay 87 sillas
piloto tiene 80 sillas y resta 54 sillas ¿Cuantos tiene al final?,Al final tiene 26 sillas
profesor tiene 55 moviles y excluye 42 moviles ¿Cuantos tiene al final?,Al final tiene 13 moviles
un perro tiene 50 lapices y le quitan 31 lapices ¿Cuantos tiene al final?,Al final tiene 19 lapices
hay 8 tortillas en una mesa y se comen 31 ¿Cuantos tortillas quedan?,Quedan 23 tortillas
hay 2 pajaros en un arbol y se van volando 21 ¿Cuantos pajaros quedan?,Quedan 19 pajaros
perro tiene 100 pajaros y le entregan 11 pajaros ¿Cuantos tienen entre los dos?,Entre los dos tienen 111 pajaros
medico tiene 43 frutas y suma 4 frutas ¿Cuantos hay al final ?,Al final hay 47 frutas
Pablo tiene 22 ciruela y Pedro tiene 27 peras ¿Cuantos frutas hay en total?,En total hay 49 frutas
Gustavo tiene 1 manzanas y Francisco tiene 99 uvas ¿Cuantos frutas hay en total?,En total hay 100 frutas
hay 87 tortillas en una mesa y se comen 36 ¿Cuantos tortillas quedan?,Quedan 51 tortillas
piloto tiene 71 pajaros y le entregan 78 pajaros ¿Cuantos hay en total?,En total hay 149 pajaros
un camarero tiene 96 unidades y con una diferencia 50 unidades ¿Cuantos le queda?,Le queda 46 unidades
piloto tiene 89 pajaros y excluye 52 pajaros ¿Cuanto queda?,Queda 37 pajaros
un obrero tiene 56 coches y le extraen 12 coches ¿Cuantos le queda?,Le queda 44 coches
Julio tiene 82 balones de voley y Lucas tiene 19 balones de voley ¿Cuantos balones hay en total?,En total hay 101 balones
piloto tiene 58 pajaros y incluye 85 pajaros ¿Cuantos hay en total?,En total hay 143 pajaros
hay 93 tortillas en una mesa y se comen 76 ¿Cuantos tortillas quedan?,Quedan 17 tortillas
hay 5 niños en clase y se van 45 ¿Cuantos niños quedan?,Quedan 40 niños
Pablo tiene 98 coco y Lorena tiene 83 peras ¿Cuantos frutas hay en total?,En total hay 181 frutas
hay 58 pajaros en un arbol y se van volando 23 ¿Cuantos pajaros quedan?,Quedan 35 pajaros
un perro tiene 70 lapices y le quitan 27 lapices ¿Cuanto queda?,Queda 43 lapices
Francisco tiene 89 balones de futbol y Celeste tiene 95 balones de futbol ¿Cuantos balones hay en total?,En total hay 184 balones
Pedro tiene 12 balones de futbol y Julio tiene 80 balones de voley ¿Cuantos balones hay en total?,En total hay 92 balones
Juan tiene 41 papayas y Celeste tiene 28 melocotones ¿Cuantos frutas hay en total?,En total hay 69 frutas
pablito  tiene 72 mesas y excluye 1 mesas ¿Cuanto queda?,Queda 71 mesas
profesor tiene 50 carteras y con una diferencia 23 carteras ¿Cuantos le queda?,Le queda 27 carteras
medico tiene 98 coches y le quitan 50 coches ¿Cuantos tiene al final?,Al final tiene 48 coches
pablito  tiene 5 relojes y incluye 71 relojes ¿Cuantos tienen entre los dos?,Entre los dos tienen 76 relojes
un profesor tiene 4 canicas y le dan 19 canicas ¿Cuantos hay en total?,En total hay 23 canicas
hay 26 niños en clase y se van 78 ¿Cuantos niños quedan?,Quedan 52 niños
Federico tiene 5 balones de futbol y Gustavo tiene 38 balones de basquet ¿Cuantos balones hay en total?,En total hay 43 balones
Pablo tiene 4 peras y Gustavo tiene 64 sandias ¿Cuantos frutas hay en total?,En total hay 68 frutas
Enrique tiene 97 pajaros y incluye 46 pajaros ¿Cuantos hay al final ?,Al final hay 143 pajaros
hay 35 pajaros en un arbol y se van volando 54 ¿Cuantos pajaros quedan?,Quedan 19 pajaros
programador tiene 45 pajaros y excluye 43 pajaros ¿Cuantos tiene al final?,Al final tiene 2 pajaros
un bombero tiene 23 carteras y añade 38 carteras ¿Cuantos hay al final ?,Al final hay 61 carteras
hay 22 pajaros en un arbol y se van volando 35 ¿Cuantos pajaros quedan?,Quedan 13 pajaros
cirujano tiene 58 sillas y añade 3 sillas ¿Cuantos hay en total?,En total hay 61 sillas
un policia tiene 43 lapices y le entregan 53 lapices ¿Cuantos tienen entre los dos?,Entre los dos tienen 96 lapices
Federico tiene 57 balones de basquet y Pedro tiene 91 balones de tenis ¿Cuantos balones hay en total?,En total hay 148 balones
profesor tiene 77 sillas y resta 23 sillas ¿Cuantos tiene al final?,Al final tiene 54 sillas
hay 83 tortillas en una mesa y se comen 8 ¿Cuantos tortillas quedan?,Quedan 75 tortillas
hay 60 pajaros en un arbol y se van volando 20 ¿Cuantos pajaros quedan?,Quedan 40 pajaros
hay 7 tortillas en una mesa y se comen 82 ¿Cuantos tortillas quedan?,Quedan 75 tortillas
hay 31 pajaros en un arbol y se van volando 38 ¿Cuantos pajaros quedan?,Quedan 7 pajaros
un obrero tiene 64 canicas y resta 53 canicas ¿Cuantos tiene al final?,Al final tiene 11 canicas
Juan tiene 88 ciruela y Ana tiene 92 ciruela ¿Cuantos frutas hay en total?,En total hay 180 frutas
Lorena tiene 34 melocotones y Federico tiene 64 sandias ¿Cuantos frutas hay en total?,En total hay 98 frutas
Un carpitero tiene 95 lapices y le quitan 42 lapices ¿Cuantos tiene al final?,Al final tiene 53 lapices
programador tiene 68 teles y con una diferencia 28 teles ¿Cuantos tiene al final?,Al final tiene 40 teles
hay 34 niños en clase y se van 5 ¿Cuantos niños quedan?,Quedan 29 niños
un mecanico tiene 28 teles y incluye 32 teles ¿Cuantos hay en total?,En total hay 60 teles
hay 47 tortillas en una mesa y se comen 41 ¿Cuantos tortillas quedan?,Quedan 6 tortillas
un actor tiene 55 mesas y suma 46 mesas ¿Cuantos hay al final ?,Al final hay 101 mesas
hay 26 pajaros en un arbol y se van volando 69 ¿Cuantos pajaros quedan?,Quedan 43 pajaros
Pedro tiene 2 balones de rugby y Gustavo tiene 38 balones de voley ¿Cuantos balones hay en total?,En total hay 40 balones
un cirujano tiene 53 sillas y suma 84 sillas ¿Cuantos hay en total?,En total hay 137 sillas
hay 32 niños en clase y se van 24 ¿Cuantos niños quedan?,Quedan 8 niños
un cirujano tiene 60 lapices y resta 55 lapices ¿Cuanto queda?,Queda 5 lapices
hay 95 tortillas en una mesa y se comen 98 ¿Cuantos tortillas quedan?,Quedan 3 tortillas
Francisco tiene 20 peras y Juan tiene 75 uvas ¿Cuantos frutas hay en total?,En total hay 95 frutas
un obrero tiene 2 moviles y le entregan 55 moviles ¿Cuantos hay al final ?,Al final hay 57 moviles
programador tiene 40 relojes y incluye 12 relojes ¿Cuantos tienen entre los dos?,Entre los dos tienen 52 relojes
un albañil tiene 78 canicas y le extraen 29 canicas ¿Cuantos tiene al final?,Al final tiene 49 canicas
hay 19 tortillas en una mesa y se comen 48 ¿Cuantos tortillas quedan?,Quedan 29 tortillas
pablito  tiene 63 coches y le extraen 13 coches ¿Cuantos le queda?,Le queda 50 coches
un obrero tiene 40 mesas y suma 65 mesas ¿Cuantos hay al final ?,Al final hay 105 mesas
un albañil tiene 34 pajaros y añade 56 pajaros ¿Cuantos hay en total?,En total hay 90 pajaros
Pablo tiene 47 balones de rugby y Francisco tiene 5 balones de futbol ¿Cuantos balones hay en total?,En total hay 52 balones
una actriz tiene 9 relojes y le dan 58 relojes ¿Cuantos hay al final ?,Al final hay 67 relojes
perro tiene 79 carteras y excluye 14 carteras ¿Cuantos tiene al final?,Al final tiene 65 carteras
hay 66 pajaros en un arbol y se van volando 47 ¿Cuantos pajaros quedan?,Quedan 19 pajaros
un policia tiene 88 animales y resta 32 animales ¿Cuantos tiene al final?,Al final tiene 56 animales
cirujano tiene 43 relojes y suma 47 relojes ¿Cuantos tienen entre los dos?,Entre los dos tienen 90 relojes
hay 87 pajaros en un arbol y se van volando 19 ¿Cuantos pajaros quedan?,Quedan 68 pajaros
Un carpitero tiene 92 carteras y le extraen 82 carteras ¿Cuantos le queda?,Le queda 10 carteras
Pablo tiene 26 balones de rugby y Federico tiene 97 balones de tenis ¿Cuantos balones hay en total?,En total hay 123 balones
un policia tiene 54 sillas y le quitan 49 sillas ¿Cuantos tiene al final?,Al final tiene 5 sillas
una actriz tiene 8 animales y incluye 22 animales ¿Cuantos hay en total?,En total hay 30 animales
Gustavo tiene 12 peras y Cesar tiene 16 peras ¿Cuantos frutas hay en total?,En total hay 28 frutas
Pedro tiene 2 platano y Roberto tiene 88 platano ¿Cuantos frutas hay en total?,En total hay 90 frutas
Ana tiene 48 balones de basquet y Julio tiene 8 balones de futbol ¿Cuantos balones hay en total?,En total hay 56 balones
hay 29 niños en clase y se van 76 ¿Cuantos niños quedan?,Quedan 47 niños
hay 57 pajaros en un arbol y se van volando 14 ¿Cuantos pajaros quedan?,Quedan 43 pajaros
Cesar tiene 60 balones de futbol y Pablo tiene 55 balones de tenis ¿Cuantos balones hay en total?,En total hay 115 balones
Un carpitero tiene 56 balones y le dan 52 balones ¿Cuantos tienen entre los dos?,Entre los dos tienen 108 balones
piloto tiene 35 sillas y suma 52 sillas ¿Cuantos hay en total?,En total hay 87 sillas
cirujano tiene 47 piedras y suma 48 piedras ¿Cuantos tienen entre los dos?,Entre los dos tienen 95 piedras
un cirujano tiene 44 teles y excluye 26 teles ¿Cuanto queda?,Queda 18 teles
un actor tiene 88 animales y incluye 74 animales ¿Cuantos hay en total?,En total hay 162 animales
un obrero tiene 46 balones y excluye 8 balones ¿Cuantos le queda?,Le queda 38 balones
un profesor tiene 90 pajaros y resta 71 pajaros ¿Cuantos tiene al final?,Al final tiene 19 pajaros
hay 29 tortillas en una mesa y se comen 10 ¿Cuantos tortillas quedan?,Quedan 19 tortillas
pablito  tiene 73 pajaros y excluye 29 pajaros ¿Cuantos tiene al final?,Al final tiene 44 pajaros
Federico tiene 15 manzanas y Francisco tiene 38 sandias ¿Cuantos frutas hay en total?,En total hay 53 frutas
Un carpitero tiene 99 canicas y resta 25 canicas ¿Cuantos le queda?,Le queda 74 canicas
Gustavo tiene 90 platano y Pedro tiene 44 peras ¿Cuantos frutas hay en total?,En total hay 134 frutas
hay 1 tortillas en una mesa y se comen 84 ¿Cuantos tortillas quedan?,Quedan 83 tortillas
Federico tiene 61 melocotones y Gustavo tiene 80 uvas ¿Cuantos frutas hay en total?,En total hay 141 frutas
hay 83 pajaros en un arbol y se van volando 25 ¿Cuantos pajaros quedan?,Quedan 58 pajaros
Lucas tiene 94 balones de voley y Pedro tiene 7 balones de basquet ¿Cuantos balones hay en total?,En total hay 101 balones
un actor tiene 82 unidades y excluye 2 unidades ¿Cuanto queda?,Queda 80 unidades
Enrique tiene 25 moviles y resta 20 moviles ¿Cuantos le queda?,Le queda 5 moviles
un actor tiene 75 frutas y resta 56 frutas ¿Cuanto queda?,Queda 19 frutas
un cirujano tiene 40 piedras y le extraen 38 piedras ¿Cuantos le queda?,Le queda 2 piedras
un mecanico tiene 23 carteras y le dan 9 carteras ¿Cuantos hay al final ?,Al final hay 32 carteras
Pablo tiene 65 balones de basquet y Roberto tiene 93 balones de basquet ¿Cuantos balones hay en total?,En total hay 158 balones
hay 37 niños en clase y se van 30 ¿Cuantos niños quedan?,Quedan 7 niños
hay 60 pajaros en un arbol y se van volando 33 ¿Cuantos pajaros quedan?,Quedan 27 pajaros
un profesor tiene 89 moviles y añade 14 moviles ¿Cuantos tienen entre los dos?,Entre los dos tienen 103 moviles
hay 33 niños en clase y se van 5 ¿Cuantos niños quedan?,Quedan 28 niños
un obrero tiene 91 piedras y suma 63 piedras ¿Cuantos hay en total?,En total hay 154 piedras
hay 2 niños en clase y se van 53 ¿Cuantos niños quedan?,Quedan 51 niños
Pablo tiene 44 manzanas y Gustavo tiene 34 coco ¿Cuantos frutas hay en total?,En total hay 78 frutas
un albañil tiene 97 balones y excluye 81 balones ¿Cuantos le queda?,Le queda 16 balones
Celeste tiene 72 uvas y Lucas tiene 81 peras ¿Cuantos frutas hay en total?,En total hay 153 frutas
Francisco tiene 61 balones de voley y Pedro tiene 58 balones de futbol ¿Cuantos balones hay en total?,En total hay 119 balones
hay 38 niños en clase y se van 94 ¿Cuantos niños quedan?,Quedan 56 niños
hay 95 tortillas en una mesa y se comen 57 ¿Cuantos tortillas quedan?,Quedan 38 tortillas
hay 27 tortillas en una mesa y se comen 98 ¿Cuantos tortillas quedan?,Quedan 71 tortillas
un perro tiene 23 balones y añade 20 balones ¿Cuantos hay al final ?,Al final hay 43 balones
hay 92 niños en clase y se van 61 ¿Cuantos niños quedan?,Quedan 31 niños
cirujano tiene 45 unidades y incluye 38 unidades ¿Cuantos tienen entre los dos?,Entre los dos tienen 83 unidades
ingeniero tiene 74 piedras y resta 25 piedras ¿Cuanto queda?,Queda 49 piedras
Ana tiene 93 peras y Julio tiene 78 toronjas ¿Cuantos frutas hay en total?,En total hay 171 frutas
Ana tiene 99 balones de voley y Pablo tiene 17 balones de futbol ¿Cuantos balones hay en total?,En total hay 116 balones
Gustavo tiene 29 balones de futbol y Roberto tiene 52 balones de tenis ¿Cuantos balones hay en total?,En total hay 81 balones
hay 52 tortillas en una mesa y se comen 80 ¿Cuantos tortillas quedan?,Quedan 28 tortillas
Francisco tiene 36 balones de voley y Pablo tiene 28 balones de voley ¿Cuantos balones hay en total?,En total hay 64 balones
un obrero tiene 75 frutas y suma 42 frutas ¿Cuantos hay al final ?,Al final hay 117 frutas
hay 19 niños en clase y se van 14 ¿Cuantos niños quedan?,Quedan 5 niños
pablito  tiene 77 balones y con una diferencia 11 balones ¿Cuantos tiene al final?,Al final tiene 66 balones
Pedro tiene 9 melocotones y Celeste tiene 19 melocotones ¿Cuantos frutas hay en total?,En total hay 28 frutas
Juan tiene 40 balones de basquet y Julio tiene 44 balones de tenis ¿Cuantos balones hay en total?,En total hay 84 balones
ingeniero tiene 49 lapices y añade 80 lapices ¿Cuantos hay en total?,En total hay 129 lapices
un policia tiene 37 animales y añade 14 animales ¿Cuantos tienen entre los dos?,Entre los dos tienen 51 animales
paloma tiene 29 sillas y le entregan 85 sillas ¿Cuantos hay en total?,En total hay 114 sillas
